assertion_id,pathway_id,node_ref,element_type,element_name,slot,mods,mode,flags,assertion_class,schedule_bearing,library_value
tchp:n4.b0.n0:n_cycles,tchp,n4.b0.n0,phase,Trastuzumab + pertuzumab,Phase 2 (Targeted therapy; cycles) [branch: No remaining cancer (complete response)],Targeted therapy,cycles,,n_cycles,Y,11
tchp:n4.b0.n1:agents,tchp,n4.b0.n1,phase,Radiation (if recommended),Phase 3 (Radiation; weekdays) [branch: No remaining cancer (complete response)],Radiation,weekdays,optional; concurrent,agents,Y,Radiation (if recommended) [Radiation] {Radiation} [branch: No remaining cancer (complete response)]
tchp:n4.b0.n2:agents,tchp,n4.b0.n2,phase,"Hormone (endocrine) therapy, if hormone-receptor positive",Phase 4 (Hormone (endocrine) therapy; daily) [branch: No remaining cancer (complete response)],Hormone (endocrine) therapy,daily,optional; off by default; concurrent,agents,Y,"Hormone (endocrine) therapy, if hormone-receptor positive [Hormone tablet] {Hormone (endocrine) therapy} [branch: No remaining cancer (complete response)]"
tchp:n4.b0.n2:duration,tchp,n4.b0.n2,phase,"Hormone (endocrine) therapy, if hormone-receptor positive",Phase 4 (Hormone (endocrine) therapy; daily) [branch: No remaining cancer (complete response)],Hormone (endocrine) therapy,daily,optional; off by default; concurrent,duration,Y,260 weeks (daily)
tchp:n4.b1.n0:agents,tchp,n4.b1.n0,phase,Trastuzumab deruxtecan (Enhertu) or trastuzumab emtansine (Kadcyla),Phase 5 (Targeted therapy; cycles) [branch: Some cancer remained],Targeted therapy,cycles,,agents,Y,Trastuzumab deruxtecan (Enhertu) or trastuzumab emtansine (Kadcyla) [Enhertu or Kadcyla] {Targeted therapy} [branch: Some cancer remained]
tchp:n4.b1.n0:cycle_length,tchp,n4.b1.n0,phase,Trastuzumab deruxtecan (Enhertu) or trastuzumab emtansine (Kadcyla),Phase 5 (Targeted therapy; cycles) [branch: Some cancer remained],Targeted therapy,cycles,,cycle_length,Y,21 days
tchp:n4.b1.n0:n_cycles,tchp,n4.b1.n0,phase,Trastuzumab deruxtecan (Enhertu) or trastuzumab emtansine (Kadcyla),Phase 5 (Targeted therapy; cycles) [branch: Some cancer remained],Targeted therapy,cycles,,n_cycles,Y,14
tchp:n4.b1.n1:agents,tchp,n4.b1.n1,phase,Radiation (if recommended),Phase 6 (Radiation; weekdays) [branch: Some cancer remained],Radiation,weekdays,optional; concurrent,agents,Y,Radiation (if recommended) [Radiation] {Radiation} [branch: Some cancer remained]
tchp:n4.b1.n2:agents,tchp,n4.b1.n2,phase,"Hormone (endocrine) therapy, if hormone-receptor positive",Phase 7 (Hormone (endocrine) therapy; daily) [branch: Some cancer remained],Hormone (endocrine) therapy,daily,optional; off by default; concurrent,agents,Y,"Hormone (endocrine) therapy, if hormone-receptor positive [Hormone tablet] {Hormone (endocrine) therapy} [branch: Some cancer remained]"
tchp:n4.b1.n2:duration,tchp,n4.b1.n2,phase,"Hormone (endocrine) therapy, if hormone-receptor positive",Phase 7 (Hormone (endocrine) therapy; daily) [branch: Some cancer remained],Hormone (endocrine) therapy,daily,optional; off by default; concurrent,duration,Y,260 weeks (daily)
tchp:pathway:sequence,tchp,pathway,pathway,"TCHP, surgery, trastuzumab + pertuzumab",Sequence of steps,,,,sequence,N,"Docetaxel + carboplatin + trastuzumab + pertuzumab (TCHP) -> Recovery before surgery -> Surgery -> Healing after surgery -> Decision(Pathology results){No remaining cancer (complete response): [Trastuzumab + pertuzumab -> Radiation (if recommended) -> Hormone (endocrine) therapy, if hormone-receptor positive]; Some cancer remained: [Trastuzumab deruxtecan (Enhertu) or trastuzumab emtansine (Kadcyla) -> Radiation (if recommended) -> Hormone (endocrine) therapy, if hormone-receptor positive]}"
genomic:n0:procedure_identity,genomic,n0,procedure,Surgery,Procedure (Surgery),Surgery,,,procedure_identity,N,Surgery {Surgery}
genomic:n1:interval_duration,genomic,n1,interval,Healing and test results,Interval: Healing and test results,,,,interval_duration,Y,4 weeks (Healing and test results)
genomic:n2:decision_condition,genomic,n2,decision,Genomic test result,Decision 1,,,,decision_condition,N,What did the gene-expression test show?
genomic:n2:branch_set,genomic,n2,decision,Genomic test result,Decision 1,,,,branch_set,N,Chemotherapy would be beneficial | Chemotherapy would not add benefit
genomic:n2.b0.n0:agents,genomic,n2.b0.n0,phase,Chemotherapy (docetaxel + cyclophosphamide),Phase 1 (Chemotherapy; cycles) [branch: Chemotherapy would be beneficial],Chemotherapy,cycles,optional,agents,Y,Chemotherapy (docetaxel + cyclophosphamide) [Docetaxel + cyclophosphamide] {Chemotherapy} [branch: Chemotherapy would be beneficial]
genomic:n2.b0.n0:cycle_length,genomic,n2.b0.n0,phase,Chemotherapy (docetaxel + cyclophosphamide),Phase 1 (Chemotherapy; cycles) [branch: Chemotherapy would be beneficial],Chemotherapy,cycles,optional,cycle_length,Y,21 days
genomic:n2.b0.n0:n_cycles,genomic,n2.b0.n0,phase,Chemotherapy (docetaxel + cyclophosphamide),Phase 1 (Chemotherapy; cycles) [branch: Chemotherapy would be beneficial],Chemotherapy,cycles,optional,n_cycles,Y,4
genomic:n2.b0.n1:agents,genomic,n2.b0.n1,phase,Chemotherapy (dose-dense AC then paclitaxel),Phase 2 (Chemotherapy; cycles) [branch: Chemotherapy would be beneficial],Chemotherapy,cycles,optional; off by default,agents,Y,Chemotherapy (dose-dense AC then paclitaxel) [ddAC then paclitaxel] {Chemotherapy} [branch: Chemotherapy would be beneficial]
genomic:n2.b0.n1:cycle_length,genomic,n2.b0.n1,phase,Chemotherapy (dose-dense AC then paclitaxel),Phase 2 (Chemotherapy; cycles) [branch: Chemotherapy would be beneficial],Chemotherapy,cycles,optional; off by default,cycle_length,Y,14 days
genomic:n2.b0.n1:n_cycles,genomic,n2.b0.n1,phase,Chemotherapy (dose-dense AC then paclitaxel),Phase 2 (Chemotherapy; cycles) [branch: Chemotherapy would be beneficial],Chemotherapy,cycles,optional; off by default,n_cycles,Y,8
genomic:n2.b0.n2:agents,genomic,n2.b0.n2,phase,Radiation (if recommended),Phase 3 (Radiation; weekdays) [branch: Chemotherapy would be beneficial],Radiation,weekdays,optional,agents,Y,Radiation (if recommended) [Radiation] {Radiation} [branch: Chemotherapy would be beneficial]
genomic:n2.b0.n3:agents,genomic,n2.b0.n3,phase,Hormone (endocrine) therapy,Phase 4 (Hormone (endocrine) therapy; daily) [branch: Chemotherapy would be beneficial],Hormone (endocrine) therapy,daily,,agents,Y,Hormone (endocrine) therapy [Hormone tablet] {Hormone (endocrine) therapy} [branch: Chemotherapy would be beneficial]
genomic:n2.b0.n3:duration,genomic,n2.b0.n3,phase,Hormone (endocrine) therapy,Phase 4 (Hormone (endocrine) therapy; daily) [branch: Chemotherapy would be beneficial],Hormone (endocrine) therapy,daily,,duration,Y,260 weeks (daily)
genomic:n2.b0.n4:agents,genomic,n2.b0.n4,phase,"Abemaciclib (Verzenio), if higher-risk",Phase 5 (Targeted therapy; daily) [branch: Chemotherapy would be beneficial],Targeted therapy,daily,optional; off by default; concurrent,agents,Y,"Abemaciclib (Verzenio), if higher-risk [Abemaciclib] {Targeted therapy} [branch: Chemotherapy would be beneficial]"
genomic:n2.b0.n4:duration,genomic,n2.b0.n4,phase,"Abemaciclib (Verzenio), if higher-risk",Phase 5 (Targeted therapy; daily) [branch: Chemotherapy would be beneficial],Targeted therapy,daily,optional; off by default; concurrent,duration,Y,104 weeks (daily)
genomic:n2.b0.n5:agents,genomic,n2.b0.n5,phase,"Ribociclib (Kisqali), if higher-risk",Phase 6 (Targeted therapy; daily) [branch: Chemotherapy would be beneficial],Targeted therapy,daily,optional; off by default; concurrent,agents,Y,"Ribociclib (Kisqali), if higher-risk [Ribociclib] {Targeted therapy} [branch: Chemotherapy would be beneficial]"
genomic:n2.b0.n5:duration,genomic,n2.b0.n5,phase,"Ribociclib (Kisqali), if higher-risk",Phase 6 (Targeted therapy; daily) [branch: Chemotherapy would be beneficial],Targeted therapy,daily,optional; off by default; concurrent,duration,Y,156 weeks (daily)
genomic:n2.b1.n0:agents,genomic,n2.b1.n0,phase,Radiation (if recommended),Phase 7 (Radiation; weekdays) [branch: Chemotherapy would not add benefit],Radiation,weekdays,optional,agents,Y,Radiation (if recommended) [Radiation] {Radiation} [branch: Chemotherapy would not add benefit]
genomic:n2.b1.n1:agents,genomic,n2.b1.n1,phase,Hormone (endocrine) therapy,Phase 8 (Hormone (endocrine) therapy; daily) [branch: Chemotherapy would not add benefit],Hormone (endocrine) therapy,daily,,agents,Y,Hormone (endocrine) therapy [Hormone tablet] {Hormone (endocrine) therapy} [branch: Chemotherapy would not add benefit]
genomic:n2.b1.n1:duration,genomic,n2.b1.n1,phase,Hormone (endocrine) therapy,Phase 8 (Hormone (endocrine) therapy; daily) [branch: Chemotherapy would not add benefit],Hormone (endocrine) therapy,daily,,duration,Y,260 weeks (daily)
genomic:n2.b1.n2:agents,genomic,n2.b1.n2,phase,"Abemaciclib (Verzenio), if higher-risk",Phase 9 (Targeted therapy; daily) [branch: Chemotherapy would not add benefit],Targeted therapy,daily,optional; off by default; concurrent,agents,Y,"Abemaciclib (Verzenio), if higher-risk [Abemaciclib] {Targeted therapy} [branch: Chemotherapy would not add benefit]"
genomic:n2.b1.n2:duration,genomic,n2.b1.n2,phase,"Abemaciclib (Verzenio), if higher-risk",Phase 9 (Targeted therapy; daily) [branch: Chemotherapy would not add benefit],Targeted therapy,daily,optional; off by default; concurrent,duration,Y,104 weeks (daily)
genomic:n2.b1.n3:agents,genomic,n2.b1.n3,phase,"Ribociclib (Kisqali), if higher-risk",Phase 10 (Targeted therapy; daily) [branch: Chemotherapy would not add benefit],Targeted therapy,daily,optional; off by default; concurrent,agents,Y,"Ribociclib (Kisqali), if higher-risk [Ribociclib] {Targeted therapy} [branch: Chemotherapy would not add benefit]"
genomic:n2.b1.n3:duration,genomic,n2.b1.n3,phase,"Ribociclib (Kisqali), if higher-risk",Phase 10 (Targeted therapy; daily) [branch: Chemotherapy would not add benefit],Targeted therapy,daily,optional; off by default; concurrent,duration,Y,156 weeks (daily)
genomic:pathway:sequence,genomic,pathway,pathway,"Surgery, genomic test (Oncotype DX / MammaPrint), then chemotherapy only if the test shows benefit (choose TC or dose-dense AC-T)",Sequence of steps,,,,sequence,N,"Surgery -> Healing and test results -> Decision(Genomic test result){Chemotherapy would be beneficial: [Chemotherapy (docetaxel + cyclophosphamide) -> Chemotherapy (dose-dense AC then paclitaxel) -> Radiation (if recommended) -> Hormone (endocrine) therapy -> Abemaciclib (Verzenio), if higher-risk -> Ribociclib (Kisqali), if higher-risk]; Chemotherapy would not add benefit: [Radiation (if recommended) -> Hormone (endocrine) therapy -> Abemaciclib (Verzenio), if higher-risk -> Ribociclib (Kisqali), if higher-risk]}"
db11:n0:agents,db11,n0,phase,Trastuzumab deruxtecan (Enhertu),Phase 1 (Targeted therapy; cycles),Targeted therapy,cycles,,agents,Y,Trastuzumab deruxtecan (Enhertu) [Enhertu (T-DXd)] {Targeted therapy}
db11:n0:cycle_length,db11,n0,phase,Trastuzumab deruxtecan (Enhertu),Phase 1 (Targeted therapy; cycles),Targeted therapy,cycles,,cycle_length,Y,21 days
db11:n0:n_cycles,db11,n0,phase,Trastuzumab deruxtecan (Enhertu),Phase 1 (Targeted therapy; cycles),Targeted therapy,cycles,,n_cycles,Y,4
db11:n1:agents,db11,n1,phase,Paclitaxel + trastuzumab + pertuzumab (THP),Phase 2 (Chemotherapy; Targeted therapy; cycles),Chemotherapy; Targeted therapy,cycles,,agents,Y,Paclitaxel + trastuzumab + pertuzumab (THP) [Paclitaxel + HER2 antibodies] {Chemotherapy; Targeted therapy}
db11:n1:cycle_length,db11,n1,phase,Paclitaxel + trastuzumab + pertuzumab (THP),Phase 2 (Chemotherapy; Targeted therapy; cycles),Chemotherapy; Targeted therapy,cycles,,cycle_length,Y,21 days
db11:n1:n_cycles,db11,n1,phase,Paclitaxel + trastuzumab + pertuzumab (THP),Phase 2 (Chemotherapy; Targeted therapy; cycles),Chemotherapy; Targeted therapy,cycles,,n_cycles,Y,4
db11:n1:visit_days,db11,n1,phase,Paclitaxel + trastuzumab + pertuzumab (THP),Phase 2 (Chemotherapy; Targeted therapy; cycles),Chemotherapy; Targeted therapy,cycles,,visit_days,Y,"day 1: Paclitaxel, trastuzumab, and pertuzumab | day 8: Paclitaxel | day 15: Paclitaxel"
db11:n2:interval_duration,db11,n2,interval,Recovery before surgery,Interval: Recovery before surgery,,,,interval_duration,Y,4 weeks (Recovery before surgery)
db11:n3:procedure_identity,db11,n3,procedure,Surgery,Procedure (Surgery),Surgery,,,procedure_identity,N,Surgery {Surgery}
db11:n4:interval_duration,db11,n4,interval,Healing after surgery,Interval: Healing after surgery,,,,interval_duration,Y,4 weeks (Healing after surgery)
db11:n5:decision_condition,db11,n5,decision,Pathology results,Decision 1,,,,decision_condition,N,What did the pathology report show?
db11:n5:branch_set,db11,n5,decision,Pathology results,Decision 1,,,,branch_set,N,No remaining cancer (complete response) | Some cancer remained
db11:n5.b0.n0:agents,db11,n5.b0.n0,phase,Trastuzumab + pertuzumab,Phase 3 (Targeted therapy; cycles) [branch: No remaining cancer (complete response)],Targeted therapy,cycles,,agents,Y,Trastuzumab + pertuzumab [HER2 antibodies (HP)] {Targeted therapy} [branch: No remaining cancer (complete response)]
db11:n5.b0.n0:cycle_length,db11,n5.b0.n0,phase,Trastuzumab + pertuzumab,Phase 3 (Targeted therapy; cycles) [branch: No remaining cancer (complete response)],Targeted therapy,cycles,,cycle_length,Y,21 days
db11:n5.b0.n0:n_cycles,db11,n5.b0.n0,phase,Trastuzumab + pertuzumab,Phase 3 (Targeted therapy; cycles) [branch: No remaining cancer (complete response)],Targeted therapy,cycles,,n_cycles,Y,9
db11:n5.b0.n1:agents,db11,n5.b0.n1,phase,Radiation (if recommended),Phase 4 (Radiation; weekdays) [branch: No remaining cancer (complete response)],Radiation,weekdays,optional; concurrent,agents,Y,Radiation (if recommended) [Radiation] {Radiation} [branch: No remaining cancer (complete response)]
db11:n5.b0.n2:agents,db11,n5.b0.n2,phase,"Hormone (endocrine) therapy, if hormone-receptor positive",Phase 5 (Hormone (endocrine) therapy; daily) [branch: No remaining cancer (complete response)],Hormone (endocrine) therapy,daily,optional; off by default; concurrent,agents,Y,"Hormone (endocrine) therapy, if hormone-receptor positive [Hormone tablet] {Hormone (endocrine) therapy} [branch: No remaining cancer (complete response)]"
db11:n5.b0.n2:duration,db11,n5.b0.n2,phase,"Hormone (endocrine) therapy, if hormone-receptor positive",Phase 5 (Hormone (endocrine) therapy; daily) [branch: No remaining cancer (complete response)],Hormone (endocrine) therapy,daily,optional; off by default; concurrent,duration,Y,260 weeks (daily)
db11:n5.b1.n0:agents,db11,n5.b1.n0,phase,Trastuzumab deruxtecan (Enhertu),Phase 6 (Targeted therapy; cycles) [branch: Some cancer remained],Targeted therapy,cycles,,agents,Y,Trastuzumab deruxtecan (Enhertu) [Enhertu (T-DXd)] {Targeted therapy} [branch: Some cancer remained]
db11:n5.b1.n0:cycle_length,db11,n5.b1.n0,phase,Trastuzumab deruxtecan (Enhertu),Phase 6 (Targeted therapy; cycles) [branch: Some cancer remained],Targeted therapy,cycles,,cycle_length,Y,21 days
db11:n5.b1.n0:n_cycles,db11,n5.b1.n0,phase,Trastuzumab deruxtecan (Enhertu),Phase 6 (Targeted therapy; cycles) [branch: Some cancer remained],Targeted therapy,cycles,,n_cycles,Y,14
db11:n5.b1.n1:agents,db11,n5.b1.n1,phase,Radiation (if recommended),Phase 7 (Radiation; weekdays) [branch: Some cancer remained],Radiation,weekdays,optional; concurrent,agents,Y,Radiation (if recommended) [Radiation] {Radiation} [branch: Some cancer remained]
db11:n5.b1.n2:agents,db11,n5.b1.n2,phase,"Hormone (endocrine) therapy, if hormone-receptor positive",Phase 8 (Hormone (endocrine) therapy; daily) [branch: Some cancer remained],Hormone (endocrine) therapy,daily,optional; off by default; concurrent,agents,Y,"Hormone (endocrine) therapy, if hormone-receptor positive [Hormone tablet] {Hormone (endocrine) therapy} [branch: Some cancer remained]"
db11:n5.b1.n2:duration,db11,n5.b1.n2,phase,"Hormone (endocrine) therapy, if hormone-receptor positive",Phase 8 (Hormone (endocrine) therapy; daily) [branch: Some cancer remained],Hormone (endocrine) therapy,daily,optional; off by default; concurrent,duration,Y,260 weeks (daily)
db11:pathway:sequence,db11,pathway,pathway,"DESTINY-Breast11: T-DXd then THP, surgery, HER2 therapy",Sequence of steps,,,,sequence,N,"Trastuzumab deruxtecan (Enhertu) -> Paclitaxel + trastuzumab + pertuzumab (THP) -> Recovery before surgery -> Surgery -> Healing after surgery -> Decision(Pathology results){No remaining cancer (complete response): [Trastuzumab + pertuzumab -> Radiation (if recommended) -> Hormone (endocrine) therapy, if hormone-receptor positive]; Some cancer remained: [Trastuzumab deruxtecan (Enhertu) -> Radiation (if recommended) -> Hormone (endocrine) therapy, if hormone-receptor positive]}"
natalee:n0:procedure_identity,natalee,n0,procedure,Surgery,Procedure (Surgery),Surgery,,,procedure_identity,N,Surgery {Surgery}
natalee:n1:interval_duration,natalee,n1,interval,Healing after surgery,Interval: Healing after surgery,,,,interval_duration,Y,4 weeks (Healing after surgery)
natalee:n2:agents,natalee,n2,phase,"Chemotherapy (docetaxel + cyclophosphamide), if beneficial",Phase 1 (Chemotherapy; cycles),Chemotherapy,cycles,optional; off by default,agents,Y,"Chemotherapy (docetaxel + cyclophosphamide), if beneficial [Docetaxel + cyclophosphamide] {Chemotherapy}"
natalee:n2:cycle_length,natalee,n2,phase,"Chemotherapy (docetaxel + cyclophosphamide), if beneficial",Phase 1 (Chemotherapy; cycles),Chemotherapy,cycles,optional; off by default,cycle_length,Y,21 days
natalee:n2:n_cycles,natalee,n2,phase,"Chemotherapy (docetaxel + cyclophosphamide), if beneficial",Phase 1 (Chemotherapy; cycles),Chemotherapy,cycles,optional; off by default,n_cycles,Y,4
natalee:n3:agents,natalee,n3,phase,"Chemotherapy (dose-dense AC then paclitaxel), if beneficial",Phase 2 (Chemotherapy; cycles),Chemotherapy,cycles,optional; off by default,agents,Y,"Chemotherapy (dose-dense AC then paclitaxel), if beneficial [ddAC then paclitaxel] {Chemotherapy}"
natalee:n3:cycle_length,natalee,n3,phase,"Chemotherapy (dose-dense AC then paclitaxel), if beneficial",Phase 2 (Chemotherapy; cycles),Chemotherapy,cycles,optional; off by default,cycle_length,Y,14 days
natalee:n3:n_cycles,natalee,n3,phase,"Chemotherapy (dose-dense AC then paclitaxel), if beneficial",Phase 2 (Chemotherapy; cycles),Chemotherapy,cycles,optional; off by default,n_cycles,Y,8
natalee:n4:agents,natalee,n4,phase,Radiation (if recommended),Phase 3 (Radiation; weekdays),Radiation,weekdays,optional,agents,Y,Radiation (if recommended) [Radiation] {Radiation}
natalee:n5:agents,natalee,n5,phase,Aromatase inhibitor + ribociclib (Kisqali),Phase 4 (Hormone (endocrine) therapy; Targeted therapy; daily),Hormone (endocrine) therapy; Targeted therapy,daily,,agents,Y,Aromatase inhibitor + ribociclib (Kisqali) [Hormone + ribociclib] {Hormone (endocrine) therapy; Targeted therapy}
natalee:n5:duration,natalee,n5,phase,Aromatase inhibitor + ribociclib (Kisqali),Phase 4 (Hormone (endocrine) therapy; Targeted therapy; daily),Hormone (endocrine) therapy; Targeted therapy,daily,,duration,Y,156 weeks (daily)
natalee:n6:agents,natalee,n6,phase,Hormone (endocrine) therapy continues,Phase 5 (Hormone (endocrine) therapy; daily),Hormone (endocrine) therapy,daily,,agents,Y,Hormone (endocrine) therapy continues [Hormone tablet] {Hormone (endocrine) therapy}
natalee:n6:duration,natalee,n6,phase,Hormone (endocrine) therapy continues,Phase 5 (Hormone (endocrine) therapy; daily),Hormone (endocrine) therapy,daily,,duration,Y,104 weeks (daily)
natalee:pathway:sequence,natalee,pathway,pathway,"NATALEE: surgery, optional chemo (TC or dose-dense AC-T), then an aromatase inhibitor with ribociclib for 3 years",Sequence of steps,,,,sequence,N,"Surgery -> Healing after surgery -> Chemotherapy (docetaxel + cyclophosphamide), if beneficial -> Chemotherapy (dose-dense AC then paclitaxel), if beneficial -> Radiation (if recommended) -> Aromatase inhibitor + ribociclib (Kisqali) -> Hormone (endocrine) therapy continues"
hrplus:n0:procedure_identity,hrplus,n0,procedure,Surgery,Procedure (Surgery),Surgery,,,procedure_identity,N,Surgery {Surgery}
hrplus:n1:interval_duration,hrplus,n1,interval,Healing after surgery,Interval: Healing after surgery,,,,interval_duration,Y,4 weeks (Healing after surgery)
hrplus:n2:agents,hrplus,n2,phase,"Chemotherapy (docetaxel + cyclophosphamide), if recommended",Phase 1 (Chemotherapy; cycles),Chemotherapy,cycles,optional; off by default,agents,Y,"Chemotherapy (docetaxel + cyclophosphamide), if recommended [Docetaxel + cyclophosphamide] {Chemotherapy}"
hrplus:n2:cycle_length,hrplus,n2,phase,"Chemotherapy (docetaxel + cyclophosphamide), if recommended",Phase 1 (Chemotherapy; cycles),Chemotherapy,cycles,optional; off by default,cycle_length,Y,21 days
hrplus:n2:n_cycles,hrplus,n2,phase,"Chemotherapy (docetaxel + cyclophosphamide), if recommended",Phase 1 (Chemotherapy; cycles),Chemotherapy,cycles,optional; off by default,n_cycles,Y,4
hrplus:n3:agents,hrplus,n3,phase,"Chemotherapy (dose-dense AC then paclitaxel), if recommended",Phase 2 (Chemotherapy; cycles),Chemotherapy,cycles,optional; off by default,agents,Y,"Chemotherapy (dose-dense AC then paclitaxel), if recommended [ddAC then paclitaxel] {Chemotherapy}"
hrplus:n3:cycle_length,hrplus,n3,phase,"Chemotherapy (dose-dense AC then paclitaxel), if recommended",Phase 2 (Chemotherapy; cycles),Chemotherapy,cycles,optional; off by default,cycle_length,Y,14 days
hrplus:n3:n_cycles,hrplus,n3,phase,"Chemotherapy (dose-dense AC then paclitaxel), if recommended",Phase 2 (Chemotherapy; cycles),Chemotherapy,cycles,optional; off by default,n_cycles,Y,8
hrplus:n4:agents,hrplus,n4,phase,Radiation (if recommended),Phase 3 (Radiation; weekdays),Radiation,weekdays,optional,agents,Y,Radiation (if recommended) [Radiation] {Radiation}
hrplus:n5:agents,hrplus,n5,phase,Hormone therapy + abemaciclib (Verzenio),Phase 4 (Hormone (endocrine) therapy; Targeted therapy; daily),Hormone (endocrine) therapy; Targeted therapy,daily,,agents,Y,Hormone therapy + abemaciclib (Verzenio) [Hormone + abemaciclib] {Hormone (endocrine) therapy; Targeted therapy}
hrplus:n5:duration,hrplus,n5,phase,Hormone therapy + abemaciclib (Verzenio),Phase 4 (Hormone (endocrine) therapy; Targeted therapy; daily),Hormone (endocrine) therapy; Targeted therapy,daily,,duration,Y,104 weeks (daily)
hrplus:n6:agents,hrplus,n6,phase,Hormone therapy continues,Phase 5 (Hormone (endocrine) therapy; daily),Hormone (endocrine) therapy,daily,,agents,Y,Hormone therapy continues [Hormone tablet] {Hormone (endocrine) therapy}
hrplus:n6:duration,hrplus,n6,phase,Hormone therapy continues,Phase 5 (Hormone (endocrine) therapy; daily),Hormone (endocrine) therapy,daily,,duration,Y,156 weeks (daily)
hrplus:pathway:sequence,hrplus,pathway,pathway,"HR-positive high risk: surgery, optional chemo (TC or dose-dense AC-T), endocrine therapy + abemaciclib",Sequence of steps,,,,sequence,N,"Surgery -> Healing after surgery -> Chemotherapy (docetaxel + cyclophosphamide), if recommended -> Chemotherapy (dose-dense AC then paclitaxel), if recommended -> Radiation (if recommended) -> Hormone therapy + abemaciclib (Verzenio) -> Hormone therapy continues"
ddac-t:n0:procedure_identity,ddac-t,n0,procedure,Surgery,Procedure (Surgery),Surgery,,,procedure_identity,N,Surgery {Surgery}
ddac-t:n1:interval_duration,ddac-t,n1,interval,Healing after surgery,Interval: Healing after surgery,,,,interval_duration,Y,4 weeks (Healing after surgery)
ddac-t:n2:agents,ddac-t,n2,phase,Doxorubicin + cyclophosphamide (dose-dense AC),Phase 1 (Chemotherapy; cycles),Chemotherapy,cycles,,agents,Y,Doxorubicin + cyclophosphamide (dose-dense AC) [Doxorubicin + cyclophosphamide] {Chemotherapy}
ddac-t:n2:cycle_length,ddac-t,n2,phase,Doxorubicin + cyclophosphamide (dose-dense AC),Phase 1 (Chemotherapy; cycles),Chemotherapy,cycles,,cycle_length,Y,14 days
ddac-t:n2:n_cycles,ddac-t,n2,phase,Doxorubicin + cyclophosphamide (dose-dense AC),Phase 1 (Chemotherapy; cycles),Chemotherapy,cycles,,n_cycles,Y,4
ddac-t:n3:agents,ddac-t,n3,phase,Paclitaxel,Phase 2 (Chemotherapy; cycles),Chemotherapy,cycles,,agents,Y,Paclitaxel [Paclitaxel] {Chemotherapy}
ddac-t:n3:cycle_length,ddac-t,n3,phase,Paclitaxel,Phase 2 (Chemotherapy; cycles),Chemotherapy,cycles,,cycle_length,Y,7 days
ddac-t:n3:n_cycles,ddac-t,n3,phase,Paclitaxel,Phase 2 (Chemotherapy; cycles),Chemotherapy,cycles,,n_cycles,Y,12
ddac-t:n4:agents,ddac-t,n4,phase,Radiation (if recommended),Phase 3 (Radiation; weekdays),Radiation,weekdays,optional,agents,Y,Radiation (if recommended) [Radiation] {Radiation}
ddac-t:n5:agents,ddac-t,n5,phase,"Hormone (endocrine) therapy, if hormone-receptor positive",Phase 4 (Hormone (endocrine) therapy; daily),Hormone (endocrine) therapy,daily,optional; off by default,agents,Y,"Hormone (endocrine) therapy, if hormone-receptor positive [Hormone tablet] {Hormone (endocrine) therapy}"
ddac-t:n5:duration,ddac-t,n5,phase,"Hormone (endocrine) therapy, if hormone-receptor positive",Phase 4 (Hormone (endocrine) therapy; daily),Hormone (endocrine) therapy,daily,optional; off by default,duration,Y,260 weeks (daily)
