pathway_id,added,first_commit,first_commit_date,generation_loop
cm274,2026-08-31,02204b1f9340123757b0ffa23c7a1353c0d45389,2026-08-31T19:41:11-07:00,chat
trimodality,2026-08-31,02204b1f9340123757b0ffa23c7a1353c0d45389,2026-08-31T19:41:11-07:00,chat
kn564,2026-08-31,02204b1f9340123757b0ffa23c7a1353c0d45389,2026-08-31T19:41:11-07:00,chat
kidney-surv,2026-08-31,02204b1f9340123757b0ffa23c7a1353c0d45389,2026-08-31T19:41:11-07:00,chat
prostate-long,2026-08-31,02204b1f9340123757b0ffa23c7a1353c0d45389,2026-08-31T19:41:11-07:00,chat
prostate-short,2026-08-31,02204b1f9340123757b0ffa23c7a1353c0d45389,2026-08-31T19:41:11-07:00,chat
prostatectomy,2026-08-31,02204b1f9340123757b0ffa23c7a1353c0d45389,2026-08-31T19:41:11-07:00,chat
active-surv,2026-08-31,02204b1f9340123757b0ffa23c7a1353c0d45389,2026-08-31T19:41:11-07:00,chat
atomic,2026-09-01,b7ea50e6a7d24c61c8cdd89abc35fb3cb302000c,2026-09-01T02:47:30-07:00,chat
anal,2026-09-01,b7ea50e6a7d24c61c8cdd89abc35fb3cb302000c,2026-09-01T02:47:30-07:00,chat
hn-crt,2026-09-01,b7ea50e6a7d24c61c8cdd89abc35fb3cb302000c,2026-09-01T02:47:30-07:00,chat
hn-postop,2026-09-01,b7ea50e6a7d24c61c8cdd89abc35fb3cb302000c,2026-09-01T02:47:30-07:00,chat
kn689,2026-09-01,b7ea50e6a7d24c61c8cdd89abc35fb3cb302000c,2026-09-01T02:47:30-07:00,chat
npc,2026-09-01,b7ea50e6a7d24c61c8cdd89abc35fb3cb302000c,2026-09-01T02:47:30-07:00,chat
nadina,2026-09-01,b7ea50e6a7d24c61c8cdd89abc35fb3cb302000c,2026-09-01T02:47:30-07:00,chat
s1801,2026-09-01,b7ea50e6a7d24c61c8cdd89abc35fb3cb302000c,2026-09-01T02:47:30-07:00,chat
mel-adj-io,2026-09-01,b7ea50e6a7d24c61c8cdd89abc35fb3cb302000c,2026-09-01T02:47:30-07:00,chat
combiad,2026-09-01,b7ea50e6a7d24c61c8cdd89abc35fb3cb302000c,2026-09-01T02:47:30-07:00,chat
genomic,2026-09-01,b7ea50e6a7d24c61c8cdd89abc35fb3cb302000c,2026-09-01T02:47:30-07:00,chat
ls022,2026-09-01,b7ea50e6a7d24c61c8cdd89abc35fb3cb302000c,2026-09-01T02:47:30-07:00,chat
npc-crt,2026-09-01,b7ea50e6a7d24c61c8cdd89abc35fb3cb302000c,2026-09-01T02:47:30-07:00,chat
npc-adj,2026-09-01,b7ea50e6a7d24c61c8cdd89abc35fb3cb302000c,2026-09-01T02:47:30-07:00,chat
portec2,2026-09-08,51f86f98e6c6de19ce72a1895de98497013182d1,2026-09-08T22:48:48+00:00,claude-code
portec3,2026-09-08,51f86f98e6c6de19ce72a1895de98497013182d1,2026-09-08T22:48:48+00:00,claude-code
gog258,2026-09-08,51f86f98e6c6de19ce72a1895de98497013182d1,2026-09-08T22:48:48+00:00,claude-code
gy018,2026-09-08,51f86f98e6c6de19ce72a1895de98497013182d1,2026-09-08T22:48:48+00:00,claude-code
ruby,2026-09-08,51f86f98e6c6de19ce72a1895de98497013182d1,2026-09-08T22:48:48+00:00,claude-code
usc-her2,2026-09-08,51f86f98e6c6de19ce72a1895de98497013182d1,2026-09-08T22:48:48+00:00,claude-code
ov-pds,2026-09-08,51f86f98e6c6de19ce72a1895de98497013182d1,2026-09-08T22:48:48+00:00,claude-code
ov-nact,2026-09-08,51f86f98e6c6de19ce72a1895de98497013182d1,2026-09-08T22:48:48+00:00,claude-code
