order,batch,pathway_id,pathway_name,trial,library_refs,sources_done_at,key_opened_at,minutes_spent,access_problems,reviewer
11,2,endo,"Surgery, radiation, endocrine therapy only","NCCN standard (TAILORx, ATLAS)",Davies C et al. ATLAS: 10 years of tamoxifen. Lancet 2013 || Sparano JA et al. TAILORx. NEJM 2018,,,,,
12,2,tc4-hr,"Surgery, then docetaxel + cyclophosphamide ×4 (TC), then endocrine therapy",US Oncology 9735,Jones S et al. US Oncology 9735: docetaxel + cyclophosphamide vs AC. JCO 2009 || Early Breast Cancer Trialists' Collaborative Group. Aromatase inhibitors versus tamoxifen in early breast cancer: patient-level meta-analysis. Lancet 2015,,,,,
13,2,anal,"Anal canal: chemoradiation, response assessment, salvage surgery only if needed",ACT II / RTOG 98-11,"James RD et al. ACT II: mitomycin or cisplatin chemoradiation with or without maintenance chemotherapy for anal cancer. Lancet Oncology 2013 || Ajani JA et al. RTOG 98-11: fluorouracil, mitomycin, and radiotherapy vs fluorouracil, cisplatin, and radiotherapy. JAMA 2008",,,,,
14,2,tnt-lcrt,"Long-course chemoradiation and chemotherapy before surgery, then rectal resection",CAO/ARO/AIO-12,Fokas E et al. Chemoradiotherapy plus induction or consolidation chemotherapy as total neoadjuvant therapy for locally advanced rectal cancer: long-term results of the CAO/ARO/AIO-12 randomized clinical trial. JAMA Oncology 2022;8:e215445 || Fokas E et al. Pooled analysis of the CAO/ARO/AIO-12 and OPRA randomized phase 2 trials. European Journal of Cancer 2024;210:114291,,,,,
15,2,flot,"Gastric/GEJ: FLOT + durvalumab, surgery, FLOT + durvalumab",FLOT4 / MATTERHORN,Al-Batran SE et al. FLOT4-AIO. Lancet 2019 || Janjigian YY et al. MATTERHORN: perioperative durvalumab. NEJM 2025,,,,,
16,2,rapido,"Rectal TNT: short-course radiation, CAPOX, surgery",RAPIDO,Bahadoer RR et al. RAPIDO. Lancet Oncology 2021,,,,,
17,2,atomic,"ATOMIC: surgery, FOLFOX + atezolizumab, then atezolizumab (dMMR / MSI-high, stage III)",ATOMIC (NCCN-listed; FDA decision expected October 2026),"Sinicrope FA et al. ATOMIC (Alliance A021502): atezolizumab + mFOLFOX6 for stage III dMMR colon cancer. NEJM 2026 || FDA priority review of adjuvant atezolizumab + chemotherapy for stage III dMMR colon cancer; decision expected October 9, 2026",,,,,
18,2,prodige23,"Rectal TNT: FOLFIRINOX, chemoradiation, surgery, FOLFOX",PRODIGE 23,Conroy T et al. PRODIGE 23. Lancet Oncology 2021,,,,,
19,2,prodige24,"Pancreatic: surgery, adjuvant mFOLFIRINOX",PRODIGE 24,Conroy T et al. PRODIGE 24: adjuvant mFOLFIRINOX. NEJM 2018,,,,,
20,2,opra,"Rectal organ preservation: chemoradiation, FOLFOX, then watch-and-wait or surgery",OPRA,Garcia-Aguilar J et al. OPRA organ preservation. JCO 2022 || Verheij FS et al. OPRA long-term results. JCO 2024,,,,,
21,3,capox,"Colon stage III: surgery, CAPOX (3 or 6 months)",IDEA collaboration,Grothey A et al. IDEA collaboration: 3 vs 6 months. NEJM 2018,,,,,
22,3,cross,"Esophageal: CROSS chemoradiation, surgery, nivolumab if needed",CROSS / CheckMate 577,van Hagen P et al. CROSS. NEJM 2012 || Kelly RJ et al. CheckMate 577: adjuvant nivolumab. NEJM 2021,,,,,
23,3,alina,"ALINA: surgery, alectinib for 2 years",ALINA,Wu YL et al. ALINA: adjuvant alectinib. NEJM 2024,,,,,
24,3,pacific,"PACIFIC: chemoradiation, then durvalumab",PACIFIC,"Antonia SJ et al. PACIFIC. NEJM 2017 (durvalumab 10 mg/kg every 2 weeks for up to 12 months) || FDA labeling: durvalumab (Imfinzi) 1500 mg every 4 weeks alternative dosing, approved November 2020",,,,,
25,3,adaura,"ADAURA: surgery, chemo, osimertinib for 3 years",ADAURA,Wu YL et al. ADAURA. NEJM 2020 || Tsuboi M et al. ADAURA overall survival. NEJM 2023,,,,,
26,3,laura,"LAURA: chemoradiation, then osimertinib",LAURA,Lu S et al. LAURA. NEJM 2024,,,,,
27,3,cm816,"CheckMate 816: chemo + nivolumab, then surgery",CheckMate 816,Forde PM et al. CheckMate 816. NEJM 2022,,,,,
28,3,kn671,"KEYNOTE-671: chemo + pembrolizumab, surgery, pembrolizumab",KEYNOTE-671,Wakelee H et al. KEYNOTE-671. NEJM 2023,,,,,
29,3,cm77t,"CheckMate 77T: chemo + nivolumab, surgery, nivolumab",CheckMate 77T,Cascone T et al. CheckMate 77T. NEJM 2024,,,,,
30,3,adriatic,"Limited-stage SCLC: chemoradiation, then durvalumab",ADRIATIC,Cheng Y et al. ADRIATIC. NEJM 2024 (durvalumab every 4 weeks for up to 24 months),,,,,
31,4,kidney-surv,"Nephrectomy, then surveillance",NCCN standard,NCCN Guidelines: Kidney Cancer (surveillance after nephrectomy),,,,,
32,4,cm274,"Chemo, cystectomy, adjuvant nivolumab (CheckMate 274)",SWOG 8710 / CheckMate 274,Bajorin DF et al. CheckMate 274: adjuvant nivolumab (240 mg every 2 weeks in the trial). NEJM 2021 || Grossman HB et al. SWOG 8710: neoadjuvant MVAC ×3 established chemotherapy before cystectomy; gemcitabine–cisplatin ×4 is the common modern substitute. NEJM 2003 || FDA labeling: nivolumab (Opdivo) 480 mg every 4 weeks adjuvant dosing option,,,,,
33,4,prostatectomy,"Radical prostatectomy, PSA surveillance, radiation only if PSA rises",ProtecT / ARTISTIC,Hamdy FC et al. ProtecT: 15-year outcomes. NEJM 2023 || Vale CL et al. ARTISTIC meta-analysis: adjuvant vs early salvage radiotherapy. Lancet 2020,,,,,
34,4,ls022,"LITESPARK-022: nephrectomy, then pembrolizumab + belzutifan for a year",LITESPARK-022,"Choueiri TK et al. LITESPARK-022: adjuvant pembrolizumab plus belzutifan vs pembrolizumab for clear cell RCC. NEJM 2026 || FDA approval of belzutifan with pembrolizumab for adjuvant treatment of renal cell carcinoma, June 12, 2026",,,,,
35,4,imvigor011,"IMvigor011: cystectomy, ctDNA testing, atezolizumab if ctDNA-positive",IMvigor011,"Powles T et al. ctDNA-guided adjuvant atezolizumab in muscle-invasive bladder cancer (IMvigor011). NEJM 2025 || FDA approval of adjuvant atezolizumab for ctDNA MRD-positive MIBC with Signatera CDx, May 15, 2026",,,,,
36,4,prostate-short,Radiation + 4 months of ADT,RTOG 94-08,"Jones CU et al. RTOG 94-08: 4 months of ADT with radiation, started 2 months before. NEJM 2011",,,,,
37,4,trimodality,"Trimodality bladder preservation: TURBT, chemoradiation, surveillance",BC2001 / NCCN,"James ND et al. BC2001: chemoradiotherapy for bladder cancer. NEJM 2012 (radiotherapy 64 Gy in 32 fractions over 6.5 weeks, or 55 Gy in 20 fractions over 4 weeks) || Choudhury A et al. BC2001/BCON meta-analysis: 55 Gy in 20 fractions noninferior and superior for invasive locoregional control. Lancet Oncol 2021",,,,,
38,4,ev303,"KEYNOTE-905 / EV-303: enfortumab vedotin + pembrolizumab, cystectomy, EV + pembrolizumab",KEYNOTE-905 / EV-303,"KEYNOTE-905 / EV-303: perioperative enfortumab vedotin + pembrolizumab, cisplatin-ineligible MIBC (ESMO 2025 LBA2; FDA approval Nov 2025) || KEYNOTE-B15 / EV-304: cisplatin-eligible MIBC, positive topline 2026",,,,,
39,4,prostate-long,Radiation + 2–3 years of ADT (± abiraterone),EORTC 22961 / STAMPEDE,Bolla M et al. EORTC 22961: 3 years vs 6 months of ADT with radiation. NEJM 2009 || Attard G et al. STAMPEDE: abiraterone for high-risk non-metastatic prostate cancer. Lancet 2022,,,,,
40,4,niagara,"NIAGARA: chemo + durvalumab, cystectomy, durvalumab",NIAGARA,Powles T et al. NIAGARA: perioperative durvalumab. NEJM 2024;391:1773,,,,,
41,5,kn564,"KEYNOTE-564: nephrectomy, then pembrolizumab for a year",KEYNOTE-564,Choueiri TK et al. KEYNOTE-564: adjuvant pembrolizumab. NEJM 2021 || Choueiri TK et al. KEYNOTE-564 overall survival. NEJM 2024,,,,,
42,5,active-surv,Active surveillance (low-risk prostate cancer),ProtecT / NCCN,Hamdy FC et al. ProtecT: active monitoring vs surgery vs radiotherapy. NEJM 2016,,,,,
43,5,npc-crt,Nasopharyngeal cancer: concurrent cisplatin + radiation (no induction),NCCN standard (Chen JNCI 2011),Chen QY et al. Concurrent chemoradiotherapy vs radiotherapy alone in stage II nasopharyngeal carcinoma. JNCI 2011 || NCCN Guidelines: Head and Neck Cancers (nasopharynx),,,,,
44,5,kn689,"KEYNOTE-689: pembrolizumab, surgery, pembrolizumab + radiation (± cisplatin), pembrolizumab",KEYNOTE-689,"Uppaluri R et al. KEYNOTE-689: neoadjuvant and adjuvant pembrolizumab in resectable locally advanced HNSCC. NEJM 2025 || FDA approval of perioperative pembrolizumab for resectable locally advanced HNSCC (PD-L1 CPS ≥1), June 12, 2025",,,,,
45,5,npc,"Nasopharyngeal cancer: gemcitabine/cisplatin ×3, then cisplatin + radiation",Zhang et al. (NEJM 2019) / NCCN,Zhang Y et al. Gemcitabine and cisplatin induction chemotherapy in nasopharyngeal carcinoma. NEJM 2019,,,,,
46,5,npc-adj,"Nasopharyngeal cancer: cisplatin + radiation, then adjuvant cisplatin + 5-FU ×3",Intergroup 0099,Al-Sarraf M et al. Intergroup 0099: chemoradiotherapy vs radiotherapy in advanced nasopharyngeal cancer. JCO 1998 || Blanchard P et al. MAC-NPC meta-analysis. Lancet Oncology 2015,,,,,
47,5,hn-postop,"Surgery, then radiation with or without cisplatin (pathology-guided)",RTOG 9501 / EORTC 22931,Bernier J et al. EORTC 22931: postoperative chemoradiation. NEJM 2004 || Cooper JS et al. RTOG 9501: postoperative concurrent radiotherapy and chemotherapy. NEJM 2004,,,,,
48,5,hn-crt,Definitive chemoradiation: cisplatin + radiation (7 weeks),MACH-NC / NCCN standard,"Adelstein DJ et al. Intergroup phase III: radiation (70 Gy in 35 fractions) with concurrent cisplatin days 1, 22, 43. JCO 2003 || Pignon JP et al. MACH-NC meta-analysis: chemotherapy in head and neck cancer. Radiotherapy and Oncology 2009 || Noronha V et al. Once-a-week vs once-every-3-weeks cisplatin chemoradiation (largely adjuvant setting). JCO 2018",,,,,
49,5,nadina,"NADINA: ipilimumab + nivolumab ×2, surgery, adjuvant therapy only without a major response",NADINA (NCCN-listed),Blank CU et al. NADINA: neoadjuvant nivolumab and ipilimumab in resectable stage III melanoma. NEJM 2024,,,,,
50,5,s1801,"SWOG S1801: pembrolizumab ×3, surgery, pembrolizumab ×15",SWOG S1801,Patel SP et al. SWOG S1801: neoadjuvant-adjuvant or adjuvant-only pembrolizumab in advanced melanoma. NEJM 2023,,,,,
51,6,combiad,"Surgery, then dabrafenib + trametinib for one year (BRAF V600)",COMBI-AD,Long GV et al. COMBI-AD: adjuvant dabrafenib plus trametinib in stage III BRAF-mutated melanoma. NEJM 2017,,,,,
52,6,mel-adj-io,"Surgery, then adjuvant pembrolizumab (or nivolumab) for one year",KEYNOTE-054 / KEYNOTE-716 / CheckMate 238,Eggermont AMM et al. KEYNOTE-054: adjuvant pembrolizumab in stage III melanoma (18 doses every 3 weeks). NEJM 2018 || Luke JJ et al. KEYNOTE-716: adjuvant pembrolizumab in stage IIB/IIC melanoma (17 cycles every 3 weeks). Lancet 2022 || Weber J et al. CheckMate 238: adjuvant nivolumab vs ipilimumab (nivolumab 3 mg/kg every 2 weeks for up to 1 year). NEJM 2017 || FDA labeling: nivolumab (Opdivo) 480 mg every 4 weeks adjuvant dosing option,,,,,
53,6,ruby,"Surgery, carboplatin + paclitaxel + dostarlimab ×6, then dostarlimab for up to 3 years (RUBY)",RUBY,Mirza MR et al. RUBY: dostarlimab for primary advanced or recurrent endometrial cancer. NEJM 2023,,,,,
54,6,portec2,"Surgery, then vaginal brachytherapy (PORTEC-2)",PORTEC-2,Nout RA et al. PORTEC-2: vaginal brachytherapy versus pelvic external beam radiotherapy for high-intermediate risk endometrial cancer. Lancet 2010 || Randall ME et al. GOG 249: pelvic radiation versus vaginal brachytherapy plus chemotherapy in high-intermediate and high-risk early-stage endometrial cancer. JCO 2019,,,,,
55,6,ov-pds,"Surgery first, carboplatin + paclitaxel ×6, then maintenance by BRCA / HRD result",GOG-218 / SOLO-1 / PRIMA / PAOLA-1,Burger RA et al. GOG-218: incorporation of bevacizumab in the primary treatment of ovarian cancer. NEJM 2011 || Moore K et al. SOLO-1: maintenance olaparib in newly diagnosed advanced ovarian cancer with a BRCA mutation. NEJM 2018 || González-Martín A et al. PRIMA: niraparib in newly diagnosed advanced ovarian cancer. NEJM 2019 || Ray-Coquard I et al. PAOLA-1: olaparib plus bevacizumab as first-line maintenance in ovarian cancer. NEJM 2019,,,,,
56,6,usc-her2,"Surgery, carboplatin + paclitaxel + trastuzumab ×6, then trastuzumab maintenance (HER2-positive uterine serous)",Fader randomized phase II (NCT01367002),Fader AN et al. Randomized phase II trial of carboplatin-paclitaxel versus carboplatin-paclitaxel-trastuzumab in HER2-positive uterine serous carcinoma. JCO 2018 || Fader AN et al. Updated survival analysis of carboplatin-paclitaxel with or without trastuzumab in advanced HER2-positive uterine serous carcinoma. Clinical Cancer Research 2020,,,,,
57,6,gog258,"Surgery, then carboplatin + paclitaxel ×6 (GOG-258)",GOG-258,Matei D et al. GOG-258: adjuvant chemotherapy plus radiation versus chemotherapy alone for stage III to IVA endometrial cancer. NEJM 2019,,,,,
58,6,ov-nact,"Carboplatin + paclitaxel ×3, interval debulking surgery, ×3 more, then maintenance by BRCA / HRD result",EORTC 55971 / CHORUS,Vergote I et al. EORTC 55971: neoadjuvant chemotherapy or primary surgery in stage IIIC or IV ovarian cancer. NEJM 2010 || Kehoe S et al. CHORUS: primary chemotherapy versus primary surgery for newly diagnosed advanced ovarian cancer. Lancet 2015 || van Driel WJ et al. Hyperthermic intraperitoneal chemotherapy in ovarian cancer (OVHIPEC-1). NEJM 2018 || Moore K et al. SOLO-1: maintenance olaparib in newly diagnosed advanced ovarian cancer with a BRCA mutation. NEJM 2018 || González-Martín A et al. PRIMA: niraparib in newly diagnosed advanced ovarian cancer. NEJM 2019,,,,,
59,6,gy018,"Surgery, carboplatin + paclitaxel + pembrolizumab ×6, then pembrolizumab maintenance (NRG-GY018)",NRG-GY018,Eskander RN et al. NRG-GY018: pembrolizumab plus chemotherapy in advanced endometrial cancer. NEJM 2023 || Westin SN et al. DUO-E: durvalumab plus carboplatin/paclitaxel with maintenance durvalumab with or without olaparib in endometrial cancer. JCO 2024,,,,,
60,6,portec3,"Surgery, radiation with cisplatin, then carboplatin + paclitaxel ×4 (PORTEC-3)",PORTEC-3,"de Boer SM et al. PORTEC-3: adjuvant chemoradiotherapy versus radiotherapy alone for high-risk endometrial cancer, final results. Lancet Oncology 2018 || de Boer SM et al. PORTEC-3: patterns of recurrence and post-hoc survival analysis. Lancet Oncology 2019 || León-Castillo A et al. Molecular classification of PORTEC-3: benefit of chemotherapy by molecular subgroup. JCO 2020",,,,,
