order,batch,pathway_id,disease,group,pathway_name,n_schedule_assertions,n_all_assertions
32,4,cm274,gu,Bladder,"Chemo, cystectomy, adjuvant nivolumab (CheckMate 274)",10,15
33,4,prostatectomy,gu,Prostate,"Radical prostatectomy, PSA surveillance, radiation only if PSA rises",3,6
34,4,ls022,gu,Kidney,"LITESPARK-022: nephrectomy, then pembrolizumab + belzutifan for a year",7,10
35,4,imvigor011,gu,Bladder,"IMvigor011: cystectomy, ctDNA testing, atezolizumab if ctDNA-positive",10,15
36,4,prostate-short,gu,Prostate,Radiation + 4 months of ADT,10,12
37,4,trimodality,gu,Bladder,"Trimodality bladder preservation: TURBT, chemoradiation, surveillance",3,6
38,4,ev303,gu,Bladder,"KEYNOTE-905 / EV-303: enfortumab vedotin + pembrolizumab, cystectomy, EV + pembrolizumab",13,15
39,4,prostate-long,gu,Prostate,Radiation + 2–3 years of ADT (± abiraterone),12,14
40,4,niagara,gu,Bladder,"NIAGARA: chemo + durvalumab, cystectomy, durvalumab",9,11
41,5,kn564,gu,Kidney,"KEYNOTE-564: nephrectomy, then pembrolizumab for a year",5,8
42,5,active-surv,gu,Prostate,Active surveillance (low-risk prostate cancer),1,3
43,5,npc-crt,hn,Nasopharynx,Nasopharyngeal cancer: concurrent cisplatin + radiation (no induction),4,6
44,5,kn689,hn,"Oral cavity, throat, and larynx","KEYNOTE-689: pembrolizumab, surgery, pembrolizumab + radiation (± cisplatin), pembrolizumab",12,15
45,5,npc,hn,Nasopharynx,"Nasopharyngeal cancer: gemcitabine/cisplatin ×3, then cisplatin + radiation",8,10
46,5,npc-adj,hn,Nasopharynx,"Nasopharyngeal cancer: cisplatin + radiation, then adjuvant cisplatin + 5-FU ×3",9,11
47,5,hn-postop,hn,"Oral cavity, throat, and larynx","Surgery, then radiation with or without cisplatin (pathology-guided)",5,9
48,5,hn-crt,hn,"Oral cavity, throat, and larynx",Definitive chemoradiation: cisplatin + radiation (7 weeks),5,10
49,5,nadina,skin,Stage III (lymph node involvement),"NADINA: ipilimumab + nivolumab ×2, surgery, adjuvant therapy only without a major response",9,14
50,5,s1801,skin,Stage III (lymph node involvement),"SWOG S1801: pembrolizumab ×3, surgery, pembrolizumab ×15",9,12
51,6,combiad,skin,"Stage II to III, after surgery","Surgery, then dabrafenib + trametinib for one year (BRAF V600)",4,8
52,6,mel-adj-io,skin,"Stage II to III, after surgery","Surgery, then adjuvant pembrolizumab (or nivolumab) for one year",5,8
53,6,ruby,gyn,Uterine and endometrial,"Surgery, carboplatin + paclitaxel + dostarlimab ×6, then dostarlimab for up to 3 years (RUBY)",8,11
54,6,portec2,gyn,Uterine and endometrial,"Surgery, then vaginal brachytherapy (PORTEC-2)",5,8
55,6,ov-pds,gyn,Ovarian,"Surgery first, carboplatin + paclitaxel ×6, then maintenance by BRCA / HRD result",17,22
56,6,usc-her2,gyn,Uterine and endometrial,"Surgery, carboplatin + paclitaxel + trastuzumab ×6, then trastuzumab maintenance (HER2-positive uterine serous)",5,8
57,6,gog258,gyn,Uterine and endometrial,"Surgery, then carboplatin + paclitaxel ×6 (GOG-258)",8,11
58,6,ov-nact,gyn,Ovarian,"Carboplatin + paclitaxel ×3, interval debulking surgery, ×3 more, then maintenance by BRCA / HRD result",20,25
59,6,gy018,gyn,Uterine and endometrial,"Surgery, carboplatin + paclitaxel + pembrolizumab ×6, then pembrolizumab maintenance (NRG-GY018)",8,11
60,6,portec3,gyn,Uterine and endometrial,"Surgery, radiation with cisplatin, then carboplatin + paclitaxel ×4 (PORTEC-3)",8,11
